year,month,ONI,ENSO_phase,PSN_MA,EV_MA,PET_MA,WAI_MA,PRE_MA,TST_MA,BURN_MA,PSN_CE,EV_CE,PET_CE,WAI_CE,PRE_CE,TST_CE,BURN_CE,PSN_CA,EV_CA,PET_CA,WAI_CA,PRE_CA,TST_CA,BURN_CA
2001,1,-0.7600,La Niña,161.6541,116.8653,217.5747,0.5371,49.6895,29.1096,5200,133.7422,92.6071,218.4159,0.4240,58.3005,31.5003,7850,133.5361,106.2291,219.3035,0.4844,28.6896,30.0072,7025
2001,2,-0.5400,La Niña,134.8238,107.7990,241.1154,0.4471,43.9821,32.0010,12050,84.1919,82.4445,249.1432,0.3309,104.0196,31.3417,1775,75.7057,76.8603,240.6870,0.3193,36.2057,33.4961,275
2001,3,-0.4300,Neutral,126.1240,110.4488,206.1173,0.5359,112.1279,29.1372,50,100.2236,88.6509,202.1379,0.4386,163.1524,30.2458,10825,94.1120,81.7372,214.0357,0.3819,94.5384,31.6040,250
2001,4,-0.2900,Neutral,134.8856,115.5542,201.6987,0.5729,79.9661,27.8492,0,82.8162,69.7852,227.4796,0.3068,38.3165,30.7771,15850,88.9669,68.5096,216.0492,0.3171,28.2150,31.7033,125
2001,5,-0.1900,Neutral,112.7375,99.1285,161.3049,0.6145,104.4185,27.7659,0,49.6629,42.2946,209.7364,0.2017,21.5359,30.7237,6350,61.5890,43.0266,197.5063,0.2178,21.1658,32.8695,325
2001,6,-0.0800,Neutral,128.5406,85.8443,142.1115,0.6041,118.4004,24.1966,0,71.3550,35.9076,195.1987,0.1840,1.0723,29.4078,10350,76.5573,36.7496,174.4009,0.2107,36.0094,29.4570,3475
2001,7,-0.0500,Neutral,135.6736,85.7563,146.7145,0.5845,97.9959,24.3280,0,58.6063,26.8873,213.5746,0.1259,1.2406,30.3744,66275,75.5775,35.1570,186.0688,0.1889,20.2575,29.5065,2600
2001,8,-0.1300,Neutral,141.8455,88.3040,163.6012,0.5398,97.0637,24.6058,0,50.8249,26.1078,232.1966,0.1124,1.2968,33.2247,246375,71.1243,34.2609,203.9630,0.1680,24.5272,31.2375,22475
2001,9,-0.1500,Neutral,149.9371,97.4900,200.3869,0.4865,80.5712,28.9842,0,3.4221,16.1168,269.3919,0.0598,13.6309,38.3086,481525,49.5002,27.7706,243.8408,0.1139,20.8163,36.9353,40650
2001,10,-0.2600,Neutral,148.2268,111.7316,204.8344,0.5455,153.9614,29.2663,200,56.4236,48.2346,234.4881,0.2057,128.3884,35.3977,176450,61.3882,43.9959,242.7132,0.1813,60.3811,38.1546,62375
