ano;mes;ONI;FMA_PSN;Cerrado_PSN;Caatinga_PSN;FMA_Evap;Cerrado_Evap;Caatinga_Evap;FMA_PET;Cerrado_PET;Caatinga_PET;FMA_IDA;Cerrado_IDA;Caatinga_IDA;FMA_Temp;Cerrado_Temp;Caatinga_Temp;FMA_Precip;Cerrado_Precip;Caatinga_Precip;FMA_AreaQueimada;Cerrado_AreaQueimada;Caatinga_AreaQueimada
2001;1;-0,76;161,6541;133,7422;133,5361;116,8653;92,6071;106,2291;217,5747;218,4159;219,3035;0,5371;0,424;0,4844;29,1096;31,5003;30,0072;49,6895;58,3005;28,6896;5200,0;7850,0;7025,0
2001;2;-0,54;134,8238;84,1919;75,7057;107,799;82,4445;76,8603;241,1154;249,1432;240,687;0,4471;0,3309;0,3193;32,001;31,3417;33,4961;43,9821;104,0196;36,2057;12050,0;1775,0;275,0
2001;3;-0,43;126,124;100,2236;94,112;110,4488;88,6509;81,7372;206,1173;202,1379;214,0357;0,5359;0,4386;0,3819;29,1372;30,2458;31,604;112,1279;163,1524;94,5384;50,0;10825,0;250,0
2001;4;-0,29;134,8856;82,8162;88,9669;115,5542;69,7852;68,5096;201,6987;227,4796;216,0492;0,5729;0,3068;0,3171;27,8492;30,7771;31,7033;79,9661;38,3165;28,215;0,0;15850,0;125,0
2001;5;-0,19;112,7375;49,6629;61,589;99,1285;42,2946;43,0266;161,3049;209,7364;197,5063;0,6145;0,2017;0,2178;27,7659;30,7237;32,8695;104,4185;21,5359;21,1658;0,0;6350,0;325,0
2001;6;-0,08;128,5406;71,355;76,5573;85,8443;35,9076;36,7496;142,1115;195,1987;174,4009;0,6041;0,184;0,2107;24,1966;29,4078;29,457;118,4004;1,0723;36,0094;0,0;10350,0;3475,0
2001;7;-0,05;135,6736;58,6063;75,5775;85,7563;26,8873;35,157;146,7145;213,5746;186,0688;0,5845;0,1259;0,1889;24,328;30,3744;29,5065;97,9959;1,2406;20,2575;0,0;66275,0;2600,0
2001;8;-0,13;141,8455;50,8249;71,1243;88,304;26,1078;34,2609;163,6012;232,1966;203,963;0,5398;0,1124;0,168;24,6058;33,2247;31,2375;97,0637;1,2968;24,5272;0,0;246375,0;22475,0
2001;9;-0,15;149,9371;3,4221;49,5002;97,49;16,1168;27,7706;200,3869;269,3919;243,8408;0,4865;0,0598;0,1139;28,9842;38,3086;36,9353;80,5712;13,6309;20,8163;0,0;481525,0;40650,0
2001;10;-0,26;148,2268;56,4236;61,3882;111,7316;48,2346;43,9959;204,8344;234,4881;242,7132;0,5455;0,2057;0,1813;29,2663;35,3977;38,1546;153,9614;128,3884;60,3811;200,0;176450,0;62375,0
2001;11;-0,33;148,3619;85,0236;67,9367;115,3365;72,4289;57,0932;222,4618;233,3355;241,2405;0,5185;0,3104;0,2367;30,804;33,5968;37,097;75,3584;195,4114;57,7101;0,0;16850,0;5625,0
2001;12;-0,32;133,3912;86,6999;71,4924;104,5851;69,4243;59,1801;193,7108;208,3852;215,7339;0,5399;0,3332;0,2743;29,2887;32,8353;34,4882;141,7928;174,196;120,8792;0,0;0,0;0,0
2002;1;-0,15;127,4268;123,4223;119,0026;109,8093;100,6081;101,7676;169,6583;180,2731;186,3313;0,6472;0,5581;0,5462;27,161;28,86;29,1911;243,5619;211,335;277,4654;0,0;3000,0;775,0
2002;2;0,07;175,2254;128,5482;150,7544;124,3747;105,0129;125,9368;227,338;236,7765;241,0419;0,5471;0,4435;0,5225;29,021;29,2116;29,3091;138,6198;119,5435;100,7217;0,0;10475,0;100,0
2002;3;0,11;158,6779;69,8906;96,7163;118,7836;67,377;83,0697;217,7418;227,5502;230,691;0,5455;0,2961;0,3601;27,0913;31,5137;30,3312;83,049;79,4474;25,1821;0,0;10875,0;25,0
2002;4;0,15;148,6969;82,1981;89,8385;112,4202;65,5489;69,4812;198,4376;223,4233;213,3479;0,5665;0,2934;0,3257;27,3975;30,7058;30,9749;74,854;54,275;31,8663;0,0;3525,0;0,0
2002;5;0,3;134,161;48,0834;76,4822;98,3349;36,9586;47,8945;166,66;213,4331;194,972;0,59;0,1732;0,2456;26,2843;31,062;30,6678;87,968;24,8791;30,5902;1275,0;17225,0;1150,0
2002;6;0,45;121,4911;59,9388;76,0609;85,2178;31,1076;38,7574;140,0278;194,5282;171,9483;0,6086;0,1599;0,2254;23,7082;29,6377;28,5868;104,6585;0,8728;24,7712;50,0;21700,0;350,0
