feature,coef,bioma
EV_CA,33.124103732921455,CA
PRE_CA,-4.536288631558016,CA
TST_CA,-4.081717470763143,CA
saz_sin,-5.936445893840447,CA
saz_cos,-6.494055869353947,CA
EV_CA^2,-4.28490627559101,CA
EV_CA PRE_CA,-2.3635694979171316,CA
EV_CA TST_CA,-4.481742734992392,CA
EV_CA saz_sin,3.328126274551404,CA
EV_CA saz_cos,5.524011179279614,CA
PRE_CA^2,-0.47639481679696644,CA
PRE_CA TST_CA,-1.5992378705285846,CA
PRE_CA saz_sin,0.7916815840894023,CA
PRE_CA saz_cos,2.9526434182012316,CA
TST_CA^2,-0.1258969668942092,CA
TST_CA saz_sin,3.844825932826565,CA
TST_CA saz_cos,4.674442763110931,CA
saz_sin^2,0.9299225673836599,CA
saz_sin saz_cos,1.9912509729113408,CA
saz_cos^2,-1.005241395936161,CA
