feature,coef,bioma
EV_CE,56.48157300347345,CE
PRE_CE,-12.182035256802878,CE
WAI_CE,-6.567842153086238,CE
saz_sin,-7.72682633083198,CE
saz_cos,-11.620143642438586,CE
EV_CE^2,6.857043550162609,CE
EV_CE PRE_CE,5.052205256292575,CE
EV_CE WAI_CE,-13.043182693281416,CE
EV_CE saz_sin,-10.902836673777838,CE
EV_CE saz_cos,-9.052827898279292,CE
PRE_CE^2,1.1892001459786399,CE
PRE_CE WAI_CE,-1.7934307788630182,CE
PRE_CE saz_sin,-3.1369837029513543,CE
PRE_CE saz_cos,1.367584060035116,CE
WAI_CE^2,-3.2940318627813685,CE
WAI_CE saz_sin,16.49893557511196,CE
WAI_CE saz_cos,7.204917807950347,CE
saz_sin^2,-3.939337220189611,CE
saz_sin saz_cos,10.537572698911115,CE
saz_cos^2,3.8050426842186993,CE
