feature,coef,bioma
EV_MA,22.78644221437045,MA
TST_MA,-11.111419231358742,MA
WAI_MA,-16.65944088414264,MA
saz_sin,-8.883964711444989,MA
saz_cos,-8.838866404238715,MA
EV_MA^2,-1.1811179561190266,MA
EV_MA TST_MA,-3.681572942599255,MA
EV_MA WAI_MA,-1.5676213260698664,MA
EV_MA saz_sin,0.02905100223666083,MA
EV_MA saz_cos,3.968882325335965,MA
TST_MA^2,-0.7694888351780788,MA
TST_MA WAI_MA,0.008173484650084809,MA
TST_MA saz_sin,0.7059727597521848,MA
TST_MA saz_cos,1.6142972705719119,MA
WAI_MA^2,1.1681881495264554,MA
WAI_MA saz_sin,3.0541210410682895,MA
WAI_MA saz_cos,-0.9691616635279136,MA
saz_sin^2,-1.676628298985307,MA
saz_sin saz_cos,8.852238925045773,MA
saz_cos^2,1.6047609964260219,MA
