bioma,variavel,fase,n_meses,n_blocos,delta_pct,iid_inf,iid_sup,p_iid,blk_inf,blk_sup,p_blk,largura_iid,largura_blk,razao_largura,sig_iid,sig_blk,q30_p_iid,bh30_p_iid,q6_p_iid,bh6_p_iid,q30_p_blk,bh30_p_blk,q6_p_blk,bh6_p_blk
Mata Atlântica,PSN,El Niño,76,8,-5.438,-8.725,-2.282,0.001,-9.247,-0.048,0.048,6.443,9.199,1.43,True,True,0.005,True,0.0036,True,0.437,False,0.144,False
Mata Atlântica,PSN,La Niña,72,9,-0.077,-2.966,2.769,0.9592,-2.745,2.296,0.9396,5.735,5.041,0.88,False,False,0.9592,False,0.9592,False,1.0,False,0.9396,False
Mata Atlântica,EV,El Niño,76,8,-1.52,-4.189,1.048,0.2522,-4.922,2.477,0.4112,5.237,7.399,1.41,False,False,0.3982,False,,,0.7281,False,,
Mata Atlântica,EV,La Niña,72,9,1.368,-0.723,3.479,0.199,-2.096,3.833,0.4242,4.202,5.929,1.41,False,False,0.3317,False,,,0.7281,False,,
Mata Atlântica,PRE,El Niño,76,8,-5.278,-20.748,10.391,0.5066,-20.508,10.474,0.5192,31.139,30.983,0.99,False,False,0.6608,False,,,0.7281,False,,
Mata Atlântica,PRE,La Niña,72,9,-1.271,-15.281,13.193,0.8314,-19.937,13.536,0.846,28.473,33.473,1.18,False,False,0.9238,False,,,0.94,False,,
Mata Atlântica,TST,El Niño,76,8,3.066,1.729,4.384,0.0001,0.923,5.317,0.005,2.654,4.394,1.66,True,True,0.0015,True,,,0.15,False,,
Mata Atlântica,TST,La Niña,72,9,-0.503,-1.69,0.69,0.4204,-2.372,1.905,0.7022,2.38,4.278,1.8,False,False,0.6006,False,,,0.8102,False,,
Mata Atlântica,WAI,El Niño,76,8,-2.491,-5.483,0.568,0.113,-6.429,2.395,0.2842,6.051,8.824,1.46,False,False,0.2119,False,,,0.7281,False,,
Mata Atlântica,WAI,La Niña,72,9,2.436,-0.129,5.099,0.061,-2.007,6.051,0.2924,5.228,8.058,1.54,False,False,0.1525,False,,,0.7281,False,,
Cerrado,PSN,El Niño,76,8,5.263,-2.63,13.358,0.1982,-11.136,23.558,0.5582,15.988,34.695,2.17,False,False,0.3317,False,0.2973,False,0.7281,False,0.6698,False
Cerrado,PSN,La Niña,72,9,11.745,4.253,18.924,0.003,-1.495,24.283,0.0808,14.671,25.778,1.76,True,False,0.0112,True,0.006,True,0.437,False,0.1616,False
Cerrado,EV,El Niño,76,8,7.51,0.601,14.534,0.031,-6.794,23.202,0.3218,13.933,29.996,2.15,True,False,0.093,False,,,0.7281,False,,
Cerrado,EV,La Niña,72,9,10.215,4.282,15.829,0.0006,-3.465,21.482,0.135,11.548,24.948,2.16,True,False,0.0036,True,,,0.5063,False,,
Cerrado,PRE,El Niño,76,8,7.912,-18.881,34.946,0.5674,-22.988,34.105,0.5342,53.827,57.093,1.06,False,False,0.6821,False,,,0.7281,False,,
Cerrado,PRE,La Niña,72,9,-7.729,-30.576,12.802,0.4962,-36.891,11.786,0.52,43.378,48.677,1.12,False,False,0.6608,False,,,0.7281,False,,
Cerrado,TST,El Niño,76,8,1.349,-0.143,2.826,0.0796,-2.456,5.056,0.529,2.969,7.511,2.53,False,False,0.1706,False,,,0.7281,False,,
Cerrado,TST,La Niña,72,9,-1.107,-2.405,0.194,0.0922,-3.682,2.216,0.5104,2.598,5.897,2.27,False,False,0.1844,False,,,0.7281,False,,
Cerrado,WAI,El Niño,76,8,7.695,-0.832,16.552,0.079,-9.215,26.043,0.4002,17.385,35.258,2.03,False,False,0.1706,False,,,0.7281,False,,
Cerrado,WAI,La Niña,72,9,13.986,6.781,21.119,0.0001,-2.639,27.865,0.0874,14.338,30.504,2.13,True,False,0.0015,True,,,0.437,False,,
Caatinga,PSN,El Niño,76,8,-3.285,-9.87,3.199,0.315,-13.827,7.508,0.4842,13.069,21.335,1.63,False,False,0.4725,False,0.378,False,0.7281,False,0.6698,False
Caatinga,PSN,La Niña,72,9,10.446,4.381,16.351,0.0012,0.426,16.909,0.0436,11.97,16.484,1.38,True,True,0.0051,True,0.0036,True,0.437,False,0.144,False
Caatinga,EV,El Niño,76,8,0.336,-6.378,7.384,0.9282,-13.118,12.646,1.0,13.762,25.764,1.87,False,False,0.9592,False,,,1.0,False,,
Caatinga,EV,La Niña,72,9,10.849,4.506,17.229,0.0006,-2.237,19.785,0.1028,12.723,22.022,1.73,True,False,0.0036,True,,,0.4406,False,,
Caatinga,PRE,El Niño,76,8,2.541,-16.589,23.351,0.809,-11.487,15.651,0.7006,39.94,27.137,0.68,False,False,0.9238,False,,,0.8102,False,,
Caatinga,PRE,La Niña,72,9,4.692,-11.048,20.182,0.5684,-13.421,17.149,0.6558,31.23,30.57,0.98,False,False,0.6821,False,,,0.8102,False,,
Caatinga,TST,El Niño,76,8,1.509,-0.073,3.11,0.0606,-1.717,5.236,0.391,3.183,6.953,2.18,False,False,0.1525,False,,,0.7281,False,,
Caatinga,TST,La Niña,72,9,-2.14,-3.745,-0.551,0.008,-5.23,2.123,0.3272,3.194,7.353,2.3,True,False,0.0267,True,,,0.7281,False,,
Caatinga,WAI,El Niño,76,8,0.43,-7.376,8.589,0.9136,-13.935,14.395,0.9798,15.965,28.33,1.77,False,False,0.9592,False,,,1.0,False,,
Caatinga,WAI,La Niña,72,9,12.47,5.218,19.639,0.0006,-2.184,22.049,0.0864,14.421,24.233,1.68,True,False,0.0036,True,,,0.437,False,,
