bioma,trimestre,meses,fase,n_meses,n_episodios,delta_pct,ic_inf,ic_sup,p,q_trimestre,bh_trimestre,q_12testes,bh_12testes
Mata Atlântica,chuvoso,11-12-1,El Niño,27,8,-3.13,-11.61,7.1,0.5471,0.8063,False,0.8319,False
Mata Atlântica,chuvoso,11-12-1,La Niña,28,9,7.42,1.37,15.56,0.0114,0.0342,True,0.0684,False
Mata Atlântica,seco,8-9-10,El Niño,21,8,-0.4,-5.29,4.05,0.8664,0.8664,False,0.8664,False
Mata Atlântica,seco,8-9-10,La Niña,16,5,-3.43,-7.33,0.27,0.0835,0.3561,False,0.2505,False
Cerrado,chuvoso,11-12-1,El Niño,27,8,-2.9,-19.15,14.74,0.7536,0.8063,False,0.8664,False
Cerrado,chuvoso,11-12-1,La Niña,28,9,11.88,0.73,23.92,0.0366,0.0732,False,0.1464,False
Cerrado,seco,6-7-8,El Niño,12,6,7.56,-19.53,31.77,0.5546,0.8319,False,0.8319,False
Cerrado,seco,6-7-8,La Niña,9,4,12.49,-3.26,28.36,0.1187,0.3561,False,0.2849,False
Caatinga,chuvoso,11-12-1,El Niño,27,8,-2.47,-18.63,15.76,0.8063,0.8063,False,0.8664,False
Caatinga,chuvoso,11-12-1,La Niña,28,9,25.0,8.28,43.29,0.0009,0.0054,True,0.0108,True
Caatinga,seco,7-8-9,El Niño,16,7,-1.24,-13.43,11.83,0.8083,0.8664,False,0.8664,False
Caatinga,seco,7-8-9,La Niña,12,5,4.47,-5.9,15.74,0.4072,0.8144,False,0.8144,False
