fase,inicio,fim,meses,oni_pico,durante_MA,depois3m_MA,durante_CE,depois3m_CE,durante_CA,depois3m_CA
El Niño,2002-07,2003-02,8,1.19,-3.6,-7.82,-35.15,-5.05,-12.28,-11.89
El Niño,2004-08,2005-02,7,0.71,7.99,11.76,-0.59,14.75,0.41,27.14
La Niña,2005-11,2006-03,5,0.86,-2.33,2.83,0.14,19.51,2.59,33.93
El Niño,2006-09,2007-01,5,0.88,9.94,8.0,44.45,-0.58,21.68,-1.58
La Niña,2007-08,2008-06,11,1.76,0.15,-3.93,-15.29,-13.25,3.14,1.84
La Niña,2008-11,2009-03,5,0.89,-0.46,-1.86,1.93,8.44,5.27,20.3
El Niño,2009-07,2010-03,9,1.5,-2.08,3.77,39.96,12.92,15.66,8.54
La Niña,2010-06,2011-05,12,1.57,1.19,0.63,18.3,23.71,15.85,-0.62
La Niña,2011-08,2012-02,7,1.02,4.3,-5.88,34.46,-11.2,12.89,-41.73
El Niño,2014-10,2016-05,20,2.59,-7.8,-11.82,-6.31,-36.05,-9.94,-18.94
La Niña,2017-11,2018-03,5,0.76,-0.76,7.01,7.86,18.07,-1.59,8.9
El Niño,2018-09,2019-06,10,1.05,-7.56,0.97,10.22,17.85,-4.16,0.31
El Niño,2019-10,2020-03,6,0.75,-7.39,7.17,-9.0,25.1,-16.26,39.05
La Niña,2020-09,2021-04,8,1.11,4.26,-8.94,17.48,-10.36,0.77,-12.25
La Niña,2021-09,2023-01,17,0.91,0.98,15.94,5.11,18.06,15.92,6.81
El Niño,2023-06,2024-04,11,1.99,-8.04,-0.0,-12.49,-12.88,-17.65,4.83
