bioma,lag,rho,p
Mata Atlântica,0,-0.1391,0.0164
Mata Atlântica,1,-0.1516,0.009
Mata Atlântica,2,-0.158,0.0065
Mata Atlântica,3,-0.1478,0.0112
Mata Atlântica,4,-0.141,0.0158
Mata Atlântica,5,-0.1271,0.0299
Mata Atlântica,6,-0.1094,0.0624
Mata Atlântica,7,-0.0868,0.1403
Mata Atlântica,8,-0.0788,0.1817
Mata Atlântica,9,-0.0741,0.2097
Mata Atlântica,10,-0.0599,0.3121
Mata Atlântica,11,-0.0452,0.4462
Mata Atlântica,12,-0.0269,0.6515
Cerrado,0,-0.1043,0.0727
Cerrado,1,-0.1187,0.0413
Cerrado,2,-0.1252,0.0315
Cerrado,3,-0.1239,0.0337
Cerrado,4,-0.1239,0.0341
Cerrado,5,-0.1207,0.0393
Cerrado,6,-0.1172,0.0458
Cerrado,7,-0.1239,0.035
Cerrado,8,-0.137,0.0198
Cerrado,9,-0.16,0.0065
Cerrado,10,-0.1642,0.0053
Cerrado,11,-0.1638,0.0055
Cerrado,12,-0.1562,0.0082
Caatinga,0,-0.1908,0.001
Caatinga,1,-0.1849,0.0014
Caatinga,2,-0.1714,0.0032
Caatinga,3,-0.1465,0.0119
Caatinga,4,-0.1217,0.0373
Caatinga,5,-0.0949,0.1054
Caatinga,6,-0.0741,0.2075
Caatinga,7,-0.068,0.2484
Caatinga,8,-0.0764,0.1952
Caatinga,9,-0.0922,0.1186
Caatinga,10,-0.0936,0.1136
Caatinga,11,-0.0932,0.1158
Caatinga,12,-0.0849,0.1531
