bioma,variavel,delta_EN,delta_LN,p_mw_EN,p_mw_LN,p_kw,eps2,p_fligner,p_chi2,pct_abaixo_P10_EN,pct_abaixo_P10_N,pct_abaixo_P10_LN,pct_acima_P90_EN,pct_acima_P90_N,pct_acima_P90_LN,media_abs_EN,media_abs_LN,bh_mw_EN,bh_mw_LN,bh_kw,bh_fligner,bh_chi2
Mata Atlântica,PSN,-5.4384,-0.0766,0.0096,0.7937,0.0232,0.0188,0.0386,0.0004,22.3684,4.698,8.3333,5.2632,10.0671,15.2778,-7.1899,-0.2687,True,False,True,False,True
Mata Atlântica,EV,-1.5196,1.3683,0.4877,0.3592,0.401,0.0,0.0063,0.0016,21.0526,8.7248,1.3889,9.2105,8.7248,13.8889,-1.7561,1.4966,False,False,False,True,True
Mata Atlântica,PRE,-5.2777,-1.2711,0.1805,0.8884,0.3644,0.0001,0.018,0.0232,18.4211,6.7114,8.3333,14.4737,8.0537,9.7222,-5.8976,2.0694,False,False,False,False,False
Mata Atlântica,TST,3.0656,-0.5033,0.0,0.3217,0.0,0.0746,0.3769,0.0,3.9474,10.0671,16.6667,25.0,5.3691,4.1667,0.8954,-0.169,True,False,True,False,True
Mata Atlântica,WAI,-2.4915,2.4362,0.1891,0.1821,0.0747,0.0108,0.1409,0.2122,15.7895,10.0671,4.1667,9.2105,9.396,12.5,-0.0128,0.0119,False,False,False,False,False
Cerrado,PSN,5.2633,11.7452,0.3752,0.0008,0.0042,0.0305,0.0547,0.127,15.7895,9.396,5.5556,13.1579,7.3826,12.5,2.3027,8.9268,False,True,True,False,False
Cerrado,EV,7.5097,10.215,0.08,0.0003,0.0011,0.0394,0.2864,0.0343,10.5263,12.0805,5.5556,11.8421,5.3691,18.0556,2.8724,6.5465,False,True,True,False,False
Cerrado,PRE,7.9117,-7.7294,0.8753,0.4609,0.7088,0.0,0.0003,0.0915,15.7895,8.7248,6.9444,13.1579,6.7114,13.8889,0.6193,8.1179,False,False,False,True,False
Cerrado,TST,1.3493,-1.1072,0.2167,0.0499,0.0236,0.0187,0.3345,0.0134,5.2632,10.7383,13.8889,19.7368,6.7114,6.9444,0.4213,-0.3669,False,False,True,False,False
Cerrado,WAI,7.6952,13.986,0.2445,0.0001,0.0006,0.0435,0.6308,0.2676,9.2105,12.7517,5.5556,9.2105,8.0537,15.2778,0.0109,0.0469,False,True,True,False,False
Caatinga,PSN,-3.2848,10.4455,0.4583,0.0019,0.0016,0.0371,0.8918,0.1593,14.4737,10.0671,5.5556,5.2632,10.0671,15.2778,-3.1053,8.5122,False,True,True,False,False
Caatinga,EV,0.3362,10.8494,0.6299,0.0026,0.0081,0.026,0.5304,0.2727,13.1579,10.7383,5.5556,5.2632,10.7383,13.8889,-0.2996,6.5883,False,True,True,False,False
Caatinga,PRE,2.5409,4.6923,0.7609,0.8373,0.9042,0.0,0.0043,0.0427,15.7895,8.0537,8.3333,14.4737,6.0403,13.8889,0.9747,3.8859,False,False,False,True,False
Caatinga,TST,1.5086,-2.1401,0.1051,0.0128,0.0012,0.039,0.756,0.1673,5.2632,11.4094,12.5,15.7895,9.396,5.5556,0.4927,-0.7185,False,True,True,False,False
Caatinga,WAI,0.4303,12.4696,0.5336,0.0016,0.0055,0.0286,0.8858,0.1034,14.4737,10.7383,4.1667,5.2632,10.0671,15.2778,-0.0017,0.0353,False,True,True,False,False
