bioma,variavel,fase,n,minimo,Q1,mediana,media,Q3,maximo,outliers
Mata Atlântica,PSN,El Niño,76,78.981,116.763,133.251,128.574,141.632,161.063,1
Mata Atlântica,PSN,Neutro,149,94.429,127.907,134.282,135.995,144.329,179.129,8
Mata Atlântica,PSN,La Niña,72,96.581,126.925,133.796,135.271,146.336,163.446,1
Mata Atlântica,EV,El Niño,76,76.775,91.146,98.763,100.348,109.554,128.426,0
Mata Atlântica,EV,Neutro,149,76.855,90.137,98.335,99.422,108.021,132.443,0
Mata Atlântica,EV,La Niña,72,81.052,96.437,105.765,104.79,113.728,127.355,0
Mata Atlântica,PRE,El Niño,76,15.349,39.857,66.698,86.555,131.62,273.604,1
Mata Atlântica,PRE,Neutro,149,10.066,51.499,79.966,85.978,104.658,264.159,7
Mata Atlântica,PRE,La Niña,72,21.626,53.231,86.316,97.21,125.904,386.014,3
Mata Atlântica,TST,El Niño,76,23.851,28.132,29.985,29.684,31.577,35.989,0
Mata Atlântica,TST,Neutro,149,22.086,24.96,26.826,27.099,28.988,32.886,0
Mata Atlântica,TST,La Niña,72,23.39,27.699,29.087,28.752,29.953,33.484,3
Mata Atlântica,WAI,El Niño,76,0.346,0.441,0.498,0.502,0.559,0.685,0
Mata Atlântica,WAI,Neutro,149,0.374,0.49,0.554,0.553,0.622,0.719,0
Mata Atlântica,WAI,La Niña,72,0.388,0.479,0.526,0.527,0.56,0.69,1
Cerrado,PSN,El Niño,76,13.999,62.798,100.148,92.935,127.126,165.826,0
Cerrado,PSN,Neutro,149,3.422,65.065,95.023,93.782,124.666,179.198,0
Cerrado,PSN,La Niña,72,3.037,85.785,112.279,104.218,129.834,167.366,2
Cerrado,EV,El Niño,76,20.286,44.356,78.519,74.669,100.689,124.724,0
Cerrado,EV,Neutro,149,15.706,34.147,64.597,64.639,91.69,136.907,0
Cerrado,EV,La Niña,72,14.886,58.802,95.671,83.201,106.883,129.812,0
Cerrado,PRE,El Niño,76,0.491,21.422,93.808,106.642,175.062,463.288,1
Cerrado,PRE,Neutro,149,0.137,1.355,21.146,58.993,79.447,395.32,13
Cerrado,PRE,La Niña,72,0.215,23.138,126.038,123.251,191.131,426.755,0
Cerrado,TST,El Niño,76,27.921,30.721,32.22,33.513,36.32,43.486,0
Cerrado,TST,Neutro,149,26.229,29.533,30.777,31.907,33.603,42.85,5
Cerrado,TST,La Niña,72,27.832,29.726,31.306,32.36,34.455,41.388,0
Cerrado,WAI,El Niño,76,0.078,0.185,0.416,0.372,0.525,0.667,0
Cerrado,WAI,Neutro,149,0.06,0.158,0.321,0.332,0.503,0.686,0
Cerrado,WAI,La Niña,72,0.053,0.304,0.484,0.434,0.578,0.703,0
Caatinga,PSN,El Niño,76,28.47,58.828,79.862,79.724,102.742,157.51,0
Caatinga,PSN,Neutro,149,34.4,68.431,82.389,87.017,104.352,167.623,1
Caatinga,PSN,La Niña,72,34.694,75.648,94.627,94.208,112.273,147.568,0
Caatinga,EV,El Niño,76,20.538,33.406,59.621,58.978,77.572,114.262,0
Caatinga,EV,Neutro,149,21.089,34.261,51.107,55.832,72.307,130.917,1
Caatinga,EV,La Niña,72,21.13,45.299,72.583,69.408,92.357,112.677,0
Caatinga,PRE,El Niño,76,4.144,19.603,40.295,65.661,100.168,393.782,2
Caatinga,PRE,Neutro,149,2.844,16.75,25.644,45.883,52.229,367.232,14
Caatinga,PRE,La Niña,72,3.136,25.287,67.47,73.445,95.982,291.316,2
Caatinga,TST,El Niño,76,27.638,31.549,33.128,33.742,36.063,41.24,0
Caatinga,TST,Neutro,149,25.782,29.144,30.651,31.529,33.904,40.578,0
Caatinga,TST,La Niña,72,27.752,30.082,31.968,32.362,34.569,39.321,0
Caatinga,WAI,El Niño,76,0.083,0.146,0.294,0.277,0.362,0.546,0
Caatinga,WAI,Neutro,149,0.085,0.168,0.258,0.278,0.354,0.62,0
Caatinga,WAI,La Niña,72,0.08,0.239,0.326,0.33,0.447,0.559,0
