bioma,variaveis,esquema,r2_teste,rank
Caatinga,EV + PRE + TST,GroupKFold,93.80583783459174,1
Caatinga,EV + PRE + WAI,GroupKFold,93.74923970258618,2
Caatinga,EV + PRE + BURNlog,GroupKFold,93.20701500886075,3
Caatinga,PRE + TST + WAI,GroupKFold,93.19266220842724,4
Caatinga,PRE + WAI + BURNlog,GroupKFold,92.66340430192301,5
Caatinga,EV + WAI + BURNlog,GroupKFold,92.50016310391338,6
Caatinga,EV + TST + WAI,GroupKFold,92.41468012748294,7
Caatinga,EV + TST + BURNlog,GroupKFold,92.08489479364901,8
Caatinga,TST + WAI + BURNlog,GroupKFold,89.88772028760681,9
Caatinga,PRE + TST + BURNlog,GroupKFold,74.97472222307736,10
Caatinga,EV + PRE + TST,RepeatedKFold,94.16177763854134,1
Caatinga,EV + PRE + WAI,RepeatedKFold,94.01315442872668,2
Caatinga,PRE + TST + WAI,RepeatedKFold,93.93948905131738,3
Caatinga,EV + PRE + BURNlog,RepeatedKFold,93.65445309198365,4
Caatinga,EV + TST + WAI,RepeatedKFold,92.96364653201579,5
Caatinga,PRE + WAI + BURNlog,RepeatedKFold,92.76086576821007,6
Caatinga,EV + WAI + BURNlog,RepeatedKFold,92.57427478428933,7
Caatinga,EV + TST + BURNlog,RepeatedKFold,92.53959030459652,8
Caatinga,TST + WAI + BURNlog,RepeatedKFold,89.7461355572649,9
Caatinga,PRE + TST + BURNlog,RepeatedKFold,77.9316942793912,10
Caatinga,EV + PRE + WAI,TimeSeriesSplit,91.92445836831523,1
Caatinga,EV + PRE + TST,TimeSeriesSplit,91.19643093133627,2
Caatinga,EV + PRE + BURNlog,TimeSeriesSplit,90.71530188061631,3
Caatinga,EV + TST + WAI,TimeSeriesSplit,90.69360941609294,4
Caatinga,PRE + TST + WAI,TimeSeriesSplit,90.34751328629235,5
Caatinga,EV + WAI + BURNlog,TimeSeriesSplit,89.95552310769918,6
Caatinga,EV + TST + BURNlog,TimeSeriesSplit,89.2497549945592,7
Caatinga,TST + WAI + BURNlog,TimeSeriesSplit,85.53937937185594,8
Caatinga,PRE + WAI + BURNlog,TimeSeriesSplit,83.7468036221748,9
Caatinga,PRE + TST + BURNlog,TimeSeriesSplit,69.38912607841,10
Cerrado,EV + PRE + WAI,GroupKFold,96.38269029263267,1
Cerrado,EV + PRE + TST,GroupKFold,95.94573973823181,2
Cerrado,EV + PRE + BURNlog,GroupKFold,94.99863154680136,3
Cerrado,EV + TST + WAI,GroupKFold,94.43543759305275,4
Cerrado,EV + WAI + BURNlog,GroupKFold,93.79681329471279,5
Cerrado,PRE + TST + WAI,GroupKFold,93.59308674285123,6
Cerrado,EV + TST + BURNlog,GroupKFold,92.57365471395651,7
Cerrado,PRE + WAI + BURNlog,GroupKFold,91.5104981325524,8
Cerrado,TST + WAI + BURNlog,GroupKFold,87.73842876797141,9
Cerrado,PRE + TST + BURNlog,GroupKFold,69.27053946264388,10
