bioma,grau,termos,r2_treino,r2_teste,dp_teste,gap_pp,rmse,ic_inf,ic_sup
MA,1.0,5.0,66.8,65.2,7.2,1.5,9.1686,50.3,77.2
MA,2.0,20.0,78.8,73.6,5.9,5.2,7.9675,60.1,83.4
MA,3.0,55.0,81.2,74.4,5.4,6.9,7.8669,62.0,82.8
MA,4.0,125.0,80.6,68.4,6.9,12.2,8.7469,52.6,79.6
MA,5.0,251.0,81.8,65.1,9.8,16.8,9.1715,42.5,79.4
CA,1.0,5.0,93.5,92.9,1.6,0.6,7.3896,89.0,95.4
CA,2.0,20.0,95.2,94.2,1.5,1.0,6.6948,90.8,96.3
CA,3.0,55.0,95.8,93.4,2.0,2.4,7.0873,90.1,96.0
CA,4.0,125.0,95.2,63.8,312.8,31.4,9.4512,78.7,95.0
CA,5.0,251.0,95.1,52.3,327.1,42.8,11.4375,-121.3,94.4
CE,1.0,5.0,91.4,90.1,1.8,1.2,11.6057,86.1,93.0
CE,2.0,20.0,97.3,96.7,0.6,0.6,6.7423,95.4,97.7
CE,3.0,55.0,97.4,96.4,0.7,1.0,7.0145,95.0,97.6
CE,4.0,125.0,97.7,96.1,1.6,1.6,7.2403,94.5,97.7
CE,5.0,251.0,97.6,93.7,12.3,3.9,8.3725,78.8,97.5
